"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_5763_387c0226","Cabbagehead Co CASE","","__export__.account_tax_4_2705eab1","","20.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21833_3bb2f447","Calbee Grill-A-Corn Garlic Flavour 20*80g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_21843_1eaf1449","Calbee Potato Crisps - Hot & Spicy 24*55g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_19478_678ed351","Calbee Potato Crisps Ume Flavour 24*70g CASE","","l10n_generic_coa.1_sale_tax_template","","0.0","l10n_generic_coa.1_purchase_tax_template","23.0","23%","1","23%","1"
"__export__.product_product_20214_ace15b23","Californian Squid 12*1kg CASE","","__export__.account_tax_4_2705eab1","","94.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22003_7600a4ec","Cambodian Jasmine Rice 18KG BAG","","__export__.account_tax_4_2705eab1","","22.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22036_c6859f6c","Cambodian Jasmine Rice 20KG BAG","","__export__.account_tax_4_2705eab1","","23.95","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22037_c7226531","Cambodian Long Grain Rice 20KG BAG","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22038_19ebb170","Cambodian Rice Vermicelli Jiangxi 40*400g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22039_0cff3370","Cambodian Rice Vermicelli Yinsi 50*300g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
